,0
0,"one, dose, of, az, is, better, than, nothing, and, does, help, ., thirty-three, %, protection, is, not, nothing, and, the, protection, against, serious, illness, worse, has, not, yet, been, determined, ., you, sound, like, an, anti, -, baxter, ."
1,"if, you, ', re, antivaxxer, /, couid, denier, then, you, get, couid, ,, are, hospitalized, ,, or, die, couid, ,, that, ', i, you, god, calling, you, idiot, ."
2,"omg, ,, i, love, this, woman, ., #, antivaxxer"
3,"guy, who, is, antivaxxer, so, that, he, can, get, personal, space, untaxed, section, at, nba, arena"
4,"can, it, be, called, discrimination, its, more, protecting, yourself, &, amp, ;, patrons, your, establishment, ., allowing, #, antivaxxer, swan, about, sans, mask, is, like, allowing, drunk, driver, get, into, car, &, amp, ;, start, ignition, -, no, one, might, get, hurt, but, its, likely, someone, will, be"
5,"you, are, fucking, shitting, me, right, he, was, fucking, antivaxxer, now, hes, being, praised, dying, ."
6,"same, with, antivaxxer, ,, end, times, trademark, evangelicals, ,, tinfoil, canon, types, ., they, all, need, watching"
7,"i, was, called, toots, reply, tweet, other, day, by, antivaxxer, ., as, man, i, found, it, ,, respondent, ,, offensive, ., are, they, words, now, limited, female, /, female, discussions, where, they, can, be, used, without, offense, thoughts, it, is, amazing, how, language, evolves, ."
8,"i, am, sorry, that, anyone, dies, couid, ., but, i, am, more, sorry, that, antivaxxer, will, have, it, pass, it, people, who, want, vaccine, but, has, not, got, it, yet, ."
9,"so, you, can, play, semantics, all, you, want, but, if, it, looks, like, duck, ,, quacks, like, duck, i, i, it, i, i, most, likely, antivaxxer"
10,"she, was, mission, maga, ., clink, ., #, antivaxxer"
11,"same, actually, ., until, my, and, vac, shot, haha, ., this, is, not, antivaxxer, post, bow, ., just, believe, natural, medicine, as, well, grinning_squinting_face"
12,"being, dumb, antivaxxer, is, not, protected, class"
13,"would, be, antivaxxer, just, like, they, are, with, covid19, vaccine, ., pop, die, at, greater, rate, whites, couid, ,, don, ', i, you, think, that, gop, realizes, that"
14,"condoning, antivaxxer, priests, who, publicly, spout, untruths, ,, conspiracies, ,, anti, science, is, shameful, ., i, pray, that, harm, this, does, catholic, faith, is, minimal, ."
15,"mi, roommate, es, antivaxxer, ,, que, se, hace, en, estos, cases, face_with_raised_eyebrowunamused_face"
16,"if, you, ', re, antivaxxer, showing, up, pop, up, clinics, protest, ,, your, next, destination, is, hell"
17,"good, grief, ., i, can, i, i, catch, break, ., first, i, get, guy, who, gives, me, wrong, address, pick, him, up, ,, then, i, get, stood, up, by, another, one, ,, now, i, have, antivaxxer, who, works, medical, field, saying, vaccines, give, people, couid, ., god, must, want, me, stay, single, forever, ."
18,"louisiana, is, full, #, antivaxxer, assholes, i, really, wish, i, did, not, live, here, same, state, as, those, lunatics, ."
19,"lachlan, murdoch, #, fauxnews, explicitly, back, #, tuckercarlson, his, #, antivaxxer, #, whitesupremacist, #, conspiracytheories"
20,"i, i, i, geocentric, ,, flat, -, earth, ,, antivaxxer, ., pleased, meet, u"
21,"you, said, no, child, needs, vaccine, ., that, makes, you, #, antivaxxer"
22,"don, ', i, be, shit, antivaxxer, ., or, really, any, these, ., grinning_squinting_face"
23,"if, you, are, refusing, get, vaccinated, against, couid, -, nineteen, ,, maybe, it, ', i, because, you, are, getting, your, medical, advice, news, pundits, ,, warmongers, ,, conspiracy, theorists, ,, other, deeply, misinformed, people, ,, rather, than, medical, professionals, ., #, covidiots, #, antivaxxer, face_with_symbols_on_mouthface_with_symbols_on_mouth"
24,"ummm, ., ., ., morning, spooky, tweet, table, shows, marked, decrease, efficacy, all, vaccines, against, #, india, &, amp, ;, #, brazil, variants, both, preventing, infection, &, amp, ;, stopping, disease, ., all, #, covid19, vaccines, used, globally, are, shown, ., think, what, it, ', i, gonna, do, your, #, antivaxxer, buddies, ."
25,"she, said, vaccine, is, cause, but, it, ', i, irrelevant, if, her, information, is, incorrect, i, ', i, asking, because, you, started, this, by, saying, you, ', re, *, not, *, antivaxxer, so, i, ', i, trying, understand, you, ."
26,"just, antivaxxer, playing, games, ."
27,"sir, you, can, shout, as, loud, as, you, want, ,, that, doesn, ', i, change, the, scientifically, proven, facts, :, these, vaccines, protect, you, and, help, us, out, of, the, pandemic, ., anyone, who, claims, otherwise, and, tries, to, disprove, facts, is, an, antivaxxer, ."
28,"antivaxxer, you, know, nothing, about, it"
29,"sitting, next, trump, supporter, antivaxxer, this, flight"
