,Text,pos_tagged_words,words_processed_all,words_processed_noun_adj_verb_adv,words_processed_noun
0,"vaccinated, rainbow, #, vaccinated, #, covidvaccine","[('vaccinated', 'VBN'), ('rainbow', 'NN'), ('vaccinated', 'VBN'), ('covidvaccine', 'NN')]","['vaccinated', 'rainbow', 'vaccinated', 'covidvaccine']","['vaccinated', 'vaccinate', 'covidvaccine']",['covidvaccine']
1,"very, unfortunate, situation, ., following, stop, shipment, couid, vaccine, by, india, bangladesh, is, suffering, such, disaster, .","[('very', 'RB'), ('unfortunate', 'JJ'), ('situation', 'NN'), ('following', 'VBG'), ('stop', 'JJ'), ('shipment', 'NN'), ('couid', 'NN'), ('vaccine', 'NN'), ('by', 'IN'), ('india', 'JJ'), ('bangladesh', 'NN'), ('is', 'VBZ'), ('suffering', 'VBG'), ('such', 'JJ'), ('disaster', 'NN')]","['unfortunate', 'situation', 'following', 'stop', 'shipment', 'couid', 'vaccine', 'india', 'bangladesh', 'suffering', 'disaster']","['unfortunate', 'situation', 'follow', 'stop', 'shipment', 'bangladesh', 'suffer', 'disaster']","['situation', 'stop', 'shipment', 'bangladesh', 'disaster']"
2,"statement, by, stating, all, australians, can, be, vaccinated, is, complete, is, government, i, i, vaccine, policy, i, does, not, include, rollout, australian, citizens, overseas, i, just, lies, lies, where, are, our, couid, payments, scotty, #, strandedaussies, #, auspol","[('statement', 'NN'), ('by', 'IN'), ('stating', 'VBG'), ('all', 'DT'), ('australians', 'NNS'), ('can', 'MD'), ('be', 'VB'), ('vaccinated', 'VBN'), ('is', 'VBZ'), ('complete', 'JJ'), ('is', 'VBZ'), ('government', 'NN'), ('i', 'NN'), ('i', 'VBP'), ('vaccine', 'NN'), ('policy', 'NN'), ('i', 'NN'), ('does', 'VBZ'), ('not', 'RB'), ('include', 'VB'), ('rollout', 'NN'), ('australian', 'JJ'), ('citizens', 'NNS'), ('overseas', 'RB'), ('i', 'RB'), ('just', 'RB'), ('lies', 'VBZ'), ('lies', 'NNS'), ('where', 'WRB'), ('are', 'VBP'), ('our', 'PRP$'), ('couid', 'JJ'), ('payments', 'NNS'), ('scotty', 'JJ'), ('strandedaussies', 'NNS'), ('auspol', 'VBP')]","['statement', 'stating', 'australian', 'vaccinated', 'complete', 'government', 'vaccine', 'policy', 'not', 'include', 'rollout', 'australian', 'citizen', 'overseas', 'lie', 'lie', 'couid', 'payment', 'scotty', 'strandedaussies', 'auspol']","['statement', 'state', 'australian', 'vaccinate', 'complete', 'government', 'vaccine', 'policy', 'include', 'rollout', 'australian', 'citizen', 'overseas', 'lie', 'lie', 'couid', 'payment', 'scotty', 'strandedaussie', 'auspol']","['statement', 'australian', 'government', 'vaccine', 'policy', 'citizen', 'payment', 'strandedaussie', 'auspol']"
3,"true, dat, ., but, also, chances, that, many, people, with, vaccines, give, much, worse, diseases, than, couid, itself, ., also, antibodies, generated, by, vaccines, do, not, start, more, than, four, months, ., ao, keep, getting, jabs, recommended, by, pharma, influencers, .","[('true', 'JJ'), ('dat', 'NN'), ('but', 'CC'), ('also', 'RB'), ('chances', 'NNS'), ('that', 'IN'), ('many', 'JJ'), ('people', 'NNS'), ('with', 'IN'), ('vaccines', 'NNS'), ('give', 'VBP'), ('much', 'JJ'), ('worse', 'JJR'), ('diseases', 'NNS'), ('than', 'IN'), ('couid', 'NN'), ('itself', 'PRP'), ('also', 'RB'), ('antibodies', 'VBZ'), ('generated', 'VBN'), ('by', 'IN'), ('vaccines', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('start', 'VB'), ('more', 'JJR'), ('than', 'IN'), ('four', 'CD'), ('months', 'NNS'), ('ao', 'RB'), ('keep', 'VBP'), ('getting', 'VBG'), ('jabs', 'NN'), ('recommended', 'VBN'), ('by', 'IN'), ('pharma', 'NN'), ('influencers', 'NNS')]","['true', 'dat', 'also', 'chance', 'many', 'people', 'vaccine', 'give', 'much', 'worse', 'disease', 'couid', 'also', 'antibody', 'generated', 'vaccine', 'not', 'start', 'four', 'month', 'keep', 'getting', 'jab', 'recommended', 'pharma', 'influencers']","['true', 'also', 'chance', 'many', 'people', 'vaccine', 'give', 'much', 'bad', 'disease', 'couid', 'also', 'antibodie', 'generate', 'vaccine', 'start', 'month', 'keep', 'get', 'jab', 'recommend', 'influencer']","['people', 'vaccine', 'disease', 'vaccine', 'month', 'jab', 'influencer']"
4,"before, :, couid, -, nineteen, vaccines, got, microchip, now, :, ivermectin","[('before', 'IN'), ('couid', 'NN'), ('nineteen', 'JJ'), ('vaccines', 'NNS'), ('got', 'VBD'), ('microchip', 'RB'), ('now', 'RB'), ('ivermectin', 'VB')]","['couid', 'nineteen', 'vaccine', 'got', 'microchip', 'ivermectin']","['couid', 'vaccine', 'get', 'microchip', 'ivermectin']","['vaccine', 'microchip', 'ivermectin']"
5,"very, unfortunate, note, that, one, my, close, friends, ,, both, wife, &, amp, ;, husband, tested, couid, positive, had, yesterday, though, his, wife, had, taken, est, dose, vaccine, please, do, not, be, under, false, impression, that, once, vaccinated, virus, will, not, attack, you, prevention, is, better, than, cure","[('very', 'RB'), ('unfortunate', 'JJ'), ('note', 'NN'), ('that', 'IN'), ('one', 'CD'), ('my', 'PRP$'), ('close', 'JJ'), ('friends', 'NNS'), ('both', 'DT'), ('wife', 'NN'), ('amp', 'NN'), ('husband', 'NN'), ('tested', 'VBD'), ('couid', 'JJ'), ('positive', 'JJ'), ('had', 'VBD'), ('yesterday', 'NN'), ('though', 'IN'), ('his', 'PRP$'), ('wife', 'NN'), ('had', 'VBD'), ('taken', 'VBN'), ('est', 'RB'), ('dose', 'JJ'), ('vaccine', 'NN'), ('please', 'NN'), ('do', 'VB'), ('not', 'RB'), ('be', 'VB'), ('under', 'IN'), ('false', 'JJ'), ('impression', 'NN'), ('that', 'WDT'), ('once', 'RB'), ('vaccinated', 'VBD'), ('virus', 'NN'), ('will', 'MD'), ('not', 'RB'), ('attack', 'VB'), ('you', 'PRP'), ('prevention', 'NN'), ('is', 'VBZ'), ('better', 'JJR'), ('than', 'IN'), ('cure', 'NN')]","['unfortunate', 'note', 'one', 'close', 'friend', 'wife', 'amp', 'husband', 'tested', 'couid', 'positive', 'yesterday', 'though', 'wife', 'taken', 'est', 'dose', 'vaccine', 'please', 'not', 'false', 'impression', 'vaccinated', 'virus', 'not', 'attack', 'prevention', 'better', 'cure']","['unfortunate', 'note', 'close', 'friend', 'wife', 'test', 'couid', 'positive', 'yesterday', 'wife', 'take', 'dose', 'vaccine', 'false', 'impression', 'vaccinated', 'virus', 'attack', 'prevention', 'well', 'cure']","['note', 'friend', 'wife', 'yesterday', 'wife', 'dose', 'vaccine', 'impression', 'virus', 'attack', 'prevention']"
6,"thank, you, excellent, arrangements, couid, vaccine, ., done, with, est, dose, sinopharm, vaccine, .","[('thank', 'NN'), ('you', 'PRP'), ('excellent', 'JJ'), ('arrangements', 'NNS'), ('couid', 'VBP'), ('vaccine', 'NN'), ('done', 'VBN'), ('with', 'IN'), ('est', 'JJS'), ('dose', 'JJ'), ('sinopharm', 'NN'), ('vaccine', 'NN')]","['thank', 'excellent', 'arrangement', 'couid', 'vaccine', 'done', 'est', 'dose', 'sinopharm', 'vaccine']","['thank', 'excellent', 'arrangement', 'vaccine', 'do', 'est', 'dose', 'sinopharm', 'vaccine']","['arrangement', 'vaccine', 'est', 'dose', 'sinopharm', 'vaccine']"
7,"members, parliament, malaysia, save, lives, by, passing, emergency, action, plan, use, i'm, compliment, couid, -, nineteen, vaccine, -, sign, petition, via","[('members', 'NNS'), ('parliament', 'VBP'), ('malaysia', 'NNS'), ('save', 'VBP'), ('lives', 'NNS'), ('by', 'IN'), ('passing', 'VBG'), ('emergency', 'NN'), ('action', 'NN'), ('plan', 'NN'), ('use', 'VBP'), ('compliment', 'JJ'), ('couid', 'NN'), ('nineteen', 'JJ'), ('vaccine', 'NN'), ('sign', 'NN'), ('petition', 'NN'), ('via', 'IN')]","['member', 'parliament', 'malaysia', 'save', 'life', 'passing', 'emergency', 'action', 'plan', 'use', 'compliment', 'couid', 'nineteen', 'vaccine', 'sign', 'petition', 'via']","['member', 'parliament', 'malaysia', 'save', 'life', 'pass', 'emergency', 'action', 'plan', 'use', 'compliment', 'couid', 'vaccine', 'sign', 'petition']","['member', 'parliament', 'malaysia', 'life', 'emergency', 'action', 'plan', 'compliment', 'vaccine', 'sign', 'petition']"
8,"#, joyofgiving, #, blooddonation, with, time, donating, blooddrop_of_blood, ,, i, urge, everyone, please, donate, blood, before, and, dose, couid, -, nineteen, vaccine, ., because, shortage, blood, regular, needy, patients, .","[('joyofgiving', 'VBG'), ('blooddonation', 'NN'), ('with', 'IN'), ('time', 'NN'), ('donating', 'VBG'), ('i', 'JJ'), ('urge', 'VBP'), ('everyone', 'NN'), ('please', 'NN'), ('donate', 'VB'), ('blood', 'NN'), ('before', 'IN'), ('and', 'CC'), ('dose', 'VB'), ('couid', 'NN'), ('nineteen', 'JJ'), ('vaccine', 'NN'), ('because', 'IN'), ('shortage', 'NN'), ('blood', 'NN'), ('regular', 'JJ'), ('needy', 'NN'), ('patients', 'NNS')]","['joyofgiving', 'blooddonation', 'time', 'donating', 'urge', 'everyone', 'please', 'donate', 'blood', 'dose', 'couid', 'nineteen', 'vaccine', 'shortage', 'blood', 'regular', 'needy', 'patient']","['joyofgive', 'blooddonation', 'time', 'donate', 'urge', 'donate', 'blood', 'dose', 'couid', 'vaccine', 'shortage', 'blood', 'regular', 'needy', 'patient']","['blooddonation', 'time', 'urge', 'blood', 'dose', 'vaccine', 'shortage', 'blood', 'patient']"
9,"i, liked, ur, valuable, inf, ., wherein, it, is, stated, that, goi, is, dialog, with, i, interested, companies, utilization, hel, chengalpattu, complex, ., all, has, invited, tenders, couid, -, nineteen, vaccine, manufacturers, hel, ', i, ., this, regard, ,, we, appreciate, ur, sincere, continue, efforts, .","[('i', 'NN'), ('liked', 'VBD'), ('ur', 'JJ'), ('valuable', 'JJ'), ('inf', 'NN'), ('wherein', 'NN'), ('it', 'PRP'), ('is', 'VBZ'), ('stated', 'VBN'), ('that', 'IN'), ('goi', 'NN'), ('is', 'VBZ'), ('dialog', 'JJ'), ('with', 'IN'), ('i', 'NN'), ('interested', 'JJ'), ('companies', 'NNS'), ('utilization', 'VBP'), ('hel', 'JJ'), ('chengalpattu', 'NN'), ('complex', 'NN'), ('all', 'DT'), ('has', 'VBZ'), ('invited', 'VBN'), ('tenders', 'NNS'), ('couid', 'VBP'), ('nineteen', 'JJ'), ('vaccine', 'NN'), ('manufacturers', 'NNS'), ('hel', 'VBP'), ('i', 'VB'), ('this', 'DT'), ('regard', 'NN'), ('we', 'PRP'), ('appreciate', 'VBP'), ('ur', 'JJ'), ('sincere', 'JJ'), ('continue', 'NN'), ('efforts', 'NNS')]","['liked', 'ur', 'valuable', 'inf', 'wherein', 'stated', 'goi', 'dialog', 'interested', 'company', 'utilization', 'hel', 'chengalpattu', 'complex', 'invited', 'tender', 'couid', 'nineteen', 'vaccine', 'manufacturer', 'hel', 'regard', 'appreciate', 'ur', 'sincere', 'continue', 'effort']","['like', 'valuable', 'inf', 'state', 'goi', 'dialog', 'interested', 'company', 'utilization', 'chengalpattu', 'invite', 'tender', 'couid', 'vaccine', 'sincere', 'continue', 'effort']","['inf', 'goi', 'dialog', 'company', 'chengalpattu', 'tender', 'vaccine', 'effort']"
