,Text,pos_tagged_words,words_processed_all,words_processed_noun_adj_verb_adv,words_processed_noun
0,"well, this, is, no, surprise, ,, i, spoke, about, this, journalist, back, september, as, what, was, coming, ., there, are, number, others, about, go, as, well, ., this, is, result, poor, pay, ,, conditions, ,, brexit, couid, stress, ., vaccine, issue, diversion, ,, though, no, doubt, has, had, impact, .","[('well', 'RB'), ('this', 'DT'), ('is', 'VBZ'), ('no', 'DT'), ('surprise', 'NN'), ('i', 'RB'), ('spoke', 'VBD'), ('about', 'IN'), ('this', 'DT'), ('journalist', 'NN'), ('back', 'RB'), ('september', 'RB'), ('as', 'IN'), ('what', 'WP'), ('was', 'VBD'), ('coming', 'VBG'), ('there', 'RB'), ('are', 'VBP'), ('number', 'NN'), ('others', 'NNS'), ('about', 'RB'), ('go', 'VBP'), ('as', 'RB'), ('well', 'RB'), ('this', 'DT'), ('is', 'VBZ'), ('result', 'JJ'), ('poor', 'JJ'), ('pay', 'NN'), ('conditions', 'NNS'), ('brexit', 'VBP'), ('couid', 'JJ'), ('stress', 'NN'), ('vaccine', 'NN'), ('issue', 'NN'), ('diversion', 'NN'), ('though', 'IN'), ('no', 'DT'), ('doubt', 'NN'), ('has', 'VBZ'), ('had', 'VBN'), ('impact', 'NN')]","['well', 'surprise', 'spoke', 'journalist', 'back', 'september', 'coming', 'number', 'others', 'go', 'well', 'result', 'poor', 'pay', 'condition', 'brexit', 'couid', 'stress', 'vaccine', 'issue', 'diversion', 'though', 'doubt', 'impact']","['surprise', 'speak', 'journalist', 'come', 'number', 'other', 'go', 'well', 'result', 'poor', 'pay', 'condition', 'brexit', 'couid', 'stress', 'vaccine', 'issue', 'diversion', 'doubt', 'impact']","['surprise', 'journalist', 'number', 'other', 'pay', 'condition', 'brexit', 'stress', 'vaccine', 'issue', 'diversion', 'doubt', 'impact']"
1,"fans, about, #, couid, #, vaccines","[('fans', 'NNS'), ('about', 'IN'), ('couid', 'NN'), ('vaccines', 'NNS')]","['fan', 'couid', 'vaccine']","['fan', 'couid', 'vaccine']","['fan', 'vaccine']"
2,"four, dose, vaccine, against, couid, thanks, doctor, thanks, development, partners, @, cassette, Hospital, General, five","[('four', 'CD'), ('dose', 'JJ'), ('vaccine', 'NN'), ('against', 'IN'), ('couid', 'JJ'), ('thanks', 'NNS'), ('doctor', 'VBP'), ('thanks', 'NNS'), ('development', 'NN'), ('partners', 'NNS'), ('cassette', 'VBP'), ('hospital', 'JJ'), ('general', 'JJ'), ('five', 'CD')]","['four', 'dose', 'vaccine', 'couid', 'thanks', 'doctor', 'thanks', 'development', 'partner', 'cassette', 'hospital', 'general', 'five']","['dose', 'vaccine', 'couid', 'thank', 'doctor', 'thank', 'development', 'partner', 'general']","['dose', 'vaccine', 'thank', 'doctor', 'thank', 'development', 'partner', 'general']"
3,"india, ', i, fight, against, couid, -, nineteen, is, getting, stronger, India, over, four, crore, our, young, warriors, between, fifteen, -, seventeen, age, group, have, been, administered, with, est, dose, couid, -, nineteen, vaccine, ., #, indiafightscorona, #, unite2fightcorona","[('india', 'NN'), ('i', 'NN'), ('fight', 'NN'), ('against', 'IN'), ('couid', 'NN'), ('nineteen', 'NN'), ('is', 'VBZ'), ('getting', 'VBG'), ('stronger', 'JJR'), ('india', 'NN'), ('over', 'IN'), ('four', 'CD'), ('crore', 'RB'), ('our', 'PRP$'), ('young', 'JJ'), ('warriors', 'NNS'), ('between', 'IN'), ('fifteen', 'JJ'), ('seventeen', 'JJ'), ('age', 'NN'), ('group', 'NN'), ('have', 'VBP'), ('been', 'VBN'), ('administered', 'VBN'), ('with', 'IN'), ('est', 'JJS'), ('dose', 'NN'), ('couid', 'NN'), ('nineteen', 'JJ'), ('vaccine', 'NN'), ('indiafightscorona', 'NN')]","['india', 'fight', 'couid', 'nineteen', 'getting', 'stronger', 'india', 'four', 'crore', 'young', 'warrior', 'fifteen', 'seventeen', 'age_group', 'administered', 'est', 'dose', 'couid', 'nineteen', 'vaccine', 'indiafightscorona']","['fight', 'couid', 'get', 'strong', 'crore', 'young', 'warrior', 'administer', 'est', 'dose', 'couid', 'vaccine', 'indiafightscorona']","['fight', 'warrior', 'est', 'dose', 'vaccine', 'indiafightscorona']"
4,"#, justjoking, #, couid, #, precautiondose, is, there, any, scientific, confirmation, or, evidence, that, ord, booster, dose, same, #, covidvaccine, will, be, effective, against, #, omicron, couid, variants, -, or, does, modified, or, new, vaccine, have, be, formulated, prevent, newer, couid, variants, ...","[('justjoking', 'VBG'), ('couid', 'NN'), ('precautiondose', 'NN'), ('is', 'VBZ'), ('there', 'RB'), ('any', 'DT'), ('scientific', 'JJ'), ('confirmation', 'NN'), ('or', 'CC'), ('evidence', 'NN'), ('that', 'IN'), ('ord', 'NN'), ('booster', 'NN'), ('dose', 'JJ'), ('same', 'JJ'), ('covidvaccine', 'NN'), ('will', 'MD'), ('be', 'VB'), ('effective', 'JJ'), ('against', 'IN'), ('omicron', 'NN'), ('couid', 'NN'), ('variants', 'NNS'), ('or', 'CC'), ('does', 'VBZ'), ('modified', 'VBN'), ('or', 'CC'), ('new', 'JJ'), ('vaccine', 'NN'), ('have', 'VBP'), ('be', 'VB'), ('formulated', 'VBN'), ('prevent', 'JJ'), ('newer', 'JJR'), ('couid', 'NN'), ('variants', 'NNS')]","['justjoking', 'couid', 'precautiondose', 'scientific', 'confirmation', 'evidence', 'ord', 'booster', 'dose', 'covidvaccine', 'effective', 'omicron', 'couid', 'variant', 'modified', 'new', 'vaccine', 'formulated', 'prevent', 'newer', 'couid', 'variant']","['justjoke', 'couid', 'precautiondose', 'scientific', 'confirmation', 'evidence', 'ord', 'booster', 'dose', 'covidvaccine', 'effective', 'variant', 'modify', 'new', 'vaccine', 'formulate', 'prevent', 'new', 'couid', 'variant']","['confirmation', 'evidence', 'ord', 'booster', 'dose', 'covidvaccine', 'variant', 'vaccine', 'variant']"
5,"After, I, took, the, third, dose, ,, new_moon_face_with_tears_of_joy, @, couid, -, nineteen, vaccine, center, riya","[('after', 'IN'), ('i', 'JJ'), ('took', 'VBD'), ('the', 'DT'), ('third', 'JJ'), ('dose', 'JJ'), ('couid', 'NN'), ('nineteen', 'JJ'), ('vaccine', 'NN'), ('center', 'NN'), ('riya', 'NN')]","['took', 'third', 'dose', 'couid', 'nineteen', 'vaccine', 'center']","['take', 'third', 'dose', 'vaccine', 'center']","['dose', 'vaccine', 'center']"
6,"valid, point, ., but, voluntarily, inject, vaccine, that, can, lead, you, myocarditis, that, i, can, choose, avoid, i, surely, pales, possibility, contracting, couid, ,, where, risk, can, be, mitigated, by, ones, personal, habits, ., surely, ,, our, ability, choose, trumps, all, else, .","[('valid', 'JJ'), ('point', 'NN'), ('but', 'CC'), ('voluntarily', 'RB'), ('inject', 'JJ'), ('vaccine', 'NN'), ('that', 'WDT'), ('can', 'MD'), ('lead', 'VB'), ('you', 'PRP'), ('myocarditis', 'VBP'), ('that', 'IN'), ('i', 'NN'), ('can', 'MD'), ('choose', 'VB'), ('avoid', 'JJ'), ('i', 'NN'), ('surely', 'RB'), ('pales', 'VBZ'), ('possibility', 'NN'), ('contracting', 'VBG'), ('couid', 'NN'), ('where', 'WRB'), ('risk', 'NN'), ('can', 'MD'), ('be', 'VB'), ('mitigated', 'VBN'), ('by', 'IN'), ('ones', 'NNS'), ('personal', 'JJ'), ('habits', 'NNS'), ('surely', 'RB'), ('our', 'PRP$'), ('ability', 'NN'), ('choose', 'VB'), ('trumps', 'IN'), ('all', 'DT'), ('else', 'RB')]","['valid', 'point', 'voluntarily', 'inject', 'vaccine', 'lead', 'myocarditis', 'choose', 'avoid', 'surely', 'pale', 'possibility', 'contracting', 'couid', 'risk', 'mitigated', 'one', 'personal', 'habit', 'surely', 'ability', 'choose', 'trump', 'else']","['valid', 'point', 'voluntarily', 'vaccine', 'lead', 'avoid', 'surely', 'pale', 'possibility', 'contracting', 'couid', 'risk', 'mitigate', 'one', 'personal', 'habit', 'surely', 'ability', 'choose', 'trump', 'else']","['point', 'vaccine', 'pale', 'possibility', 'contracting', 'risk', 'one', 'habit', 'ability', 'trump']"
7,"there, is, no, medicine, /, pill, treat, couid, ., vaccine, is, only, way, out, ,, that, stimulates, inner, defense, .","[('there', 'EX'), ('is', 'VBZ'), ('no', 'DT'), ('medicine', 'NN'), ('pill', 'NN'), ('treat', 'NN'), ('couid', 'NN'), ('vaccine', 'NN'), ('is', 'VBZ'), ('only', 'RB'), ('way', 'NN'), ('out', 'IN'), ('that', 'DT'), ('stimulates', 'VBZ'), ('inner', 'JJ'), ('defense', 'NN')]","['medicine', 'pill', 'treat', 'couid', 'vaccine', 'way', 'stimulates', 'inner', 'defense']","['medicine', 'pill', 'treat', 'couid', 'vaccine', 'way', 'stimulate', 'inner', 'defense']","['medicine', 'pill', 'vaccine', 'way', 'defense']"
8,"couid, -, nineteen, vaccine, :, why, are, some, athletes, so, reluctant, get, jab","[('couid', 'NN'), ('nineteen', 'JJ'), ('vaccine', 'NN'), ('why', 'WRB'), ('are', 'VBP'), ('some', 'DT'), ('athletes', 'NNS'), ('so', 'RB'), ('reluctant', 'JJ'), ('get', 'NN'), ('jab', 'NN')]","['couid', 'nineteen', 'vaccine', 'athlete', 'reluctant', 'get', 'jab']","['couid', 'vaccine', 'athlete', 'reluctant', 'get', 'jab']","['vaccine', 'jab']"
9,"One, crore, people, in, the, country, did, not, take, a, single, dose, of, vaccine, ,, more, than, six, crore, people, did, not, take, the, second, dose, of, the, vaccine, ,, the, reminder, sent, by, the, government, also, did, not, affect, #, vaccine, #, covid19, #, covid_19, #, coronavirusupdates, #, coronaupdate, #, breakingnews, #, sonusharmajournalist, #, news","[('one', 'CD'), ('crore', 'NN'), ('people', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('country', 'NN'), ('did', 'VBD'), ('not', 'RB'), ('take', 'VB'), ('a', 'DT'), ('single', 'JJ'), ('dose', 'NN'), ('of', 'IN'), ('vaccine', 'NN'), ('more', 'JJR'), ('than', 'IN'), ('six', 'CD'), ('crore', 'JJ'), ('people', 'NNS'), ('did', 'VBD'), ('not', 'RB'), ('take', 'VB'), ('the', 'DT'), ('second', 'JJ'), ('dose', 'NN'), ('of', 'IN'), ('the', 'DT'), ('vaccine', 'NN'), ('the', 'DT'), ('reminder', 'NN'), ('sent', 'VBN'), ('by', 'IN'), ('the', 'DT'), ('government', 'NN'), ('also', 'RB'), ('did', 'VBD'), ('not', 'RB'), ('affect', 'VB'), ('vaccine', 'NN'), ('coronavirusupdates', 'NNS'), ('coronaupdate', 'VBP'), ('breakingnews', 'NNS'), ('sonusharmajournalist', 'VBP'), ('news', 'NN')]","['one', 'crore', 'people', 'country', 'not', 'take', 'single', 'dose', 'vaccine', 'crore', 'people', 'not', 'take', 'second', 'dose', 'vaccine', 'reminder', 'sent', 'government', 'also', 'not', 'affect', 'vaccine', 'coronavirusupdates', 'coronaupdate', 'breakingnews', 'sonusharmajournalist', 'news']","['crore', 'people', 'country', 'take', 'single', 'dose', 'vaccine', 'crore', 'people', 'take', 'second', 'dose', 'vaccine', 'reminder', 'send', 'government', 'also', 'affect', 'vaccine', 'coronavirusupdate', 'news']","['crore', 'people', 'country', 'dose', 'vaccine', 'crore', 'people', 'dose', 'vaccine', 'reminder', 'government', 'vaccine', 'coronavirusupdate', 'news']"
