,Text,pos_tagged_words,words_processed_all,words_processed_noun_adj_verb_adv,words_processed_noun
0,"cac, says, twenty-eight, blood, clot, cases, ,, three, deaths, may, be, linked, i, &, amp, ;, i, couid, vaccine, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities","[('cac', 'NN'), ('says', 'VBZ'), ('blood', 'NN'), ('clot', 'NN'), ('cases', 'NNS'), ('three', 'CD'), ('deaths', 'NNS'), ('may', 'MD'), ('be', 'VB'), ('linked', 'VBN'), ('i', 'JJ'), ('amp', 'VBP'), ('i', 'JJ'), ('couid', 'VBP'), ('vaccine', 'NN'), ('nifty', 'JJ'), ('sipgrab', 'NN'), ('unitingpeoplewiththepossibilities', 'NNS')]","['cac', 'say', 'blood_clot', 'case', 'three', 'death', 'may', 'linked', 'amp', 'couid', 'vaccine', 'nifty_sipgrab', 'unitingpeoplewiththepossibilities']","['say', 'blood_clot', 'case', 'death', 'link', 'couid', 'vaccine', 'unitingpeoplewiththepossibilitie']","['blood_clot', 'case', 'death', 'vaccine', 'unitingpeoplewiththepossibilitie']"
1,"biden, urges, parents, get, kids, vaccinated, after, cac, panel, endorses, pfizer, couid, vaccine, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities","[('biden', 'NN'), ('urges', 'VBZ'), ('parents', 'NNS'), ('get', 'VB'), ('kids', 'NNS'), ('vaccinated', 'VBN'), ('after', 'IN'), ('cac', 'JJ'), ('panel', 'NN'), ('endorses', 'VBZ'), ('pfizer', 'JJ'), ('couid', 'JJ'), ('vaccine', 'NN'), ('nifty', 'JJ'), ('sipgrab', 'NN'), ('unitingpeoplewiththepossibilities', 'NNS')]","['biden', 'urge', 'parent', 'get', 'kid', 'vaccinated', 'cac', 'panel', 'endorses', 'pfizer', 'couid', 'vaccine', 'nifty_sipgrab', 'unitingpeoplewiththepossibilities']","['biden', 'urge', 'parent', 'get', 'kid', 'vaccinate', 'cac', 'panel', 'endorse', 'pfizer', 'couid', 'vaccine', 'unitingpeoplewiththepossibilitie']","['biden', 'parent', 'kid', 'cac', 'panel', 'pfizer', 'vaccine', 'unitingpeoplewiththepossibilitie']"
2,"u, ., i, ., cac, panel, backs, couid, -, nineteen, vaccine, now, cleared, adolescents, #, sipgrab, #, unitingpeoplewiththepossibilities","[('u', 'JJ'), ('i', 'NN'), ('cac', 'VBP'), ('panel', 'NN'), ('backs', 'NNS'), ('couid', 'VBP'), ('nineteen', 'JJ'), ('vaccine', 'NN'), ('now', 'RB'), ('cleared', 'JJ'), ('adolescents', 'NNS'), ('sipgrab', 'JJ'), ('unitingpeoplewiththepossibilities', 'NNS')]","['u', 'cac', 'panel', 'back', 'couid', 'nineteen', 'vaccine', 'cleared', 'adolescent', 'sipgrab_unitingpeoplewiththepossibilities']","['cac', 'panel', 'back', 'couid', 'vaccine', 'clear', 'adolescent', 'sipgrab_unitingpeoplewiththepossibilitie']","['cac', 'panel', 'back', 'vaccine', 'adolescent', 'sipgrab_unitingpeoplewiththepossibilitie']"
3,"cac, panel, endorses, pfizer, ', i, couid, vaccine, use, adolescents, ,, clearing, way, shots, begin, thursday, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities","[('cac', 'JJ'), ('panel', 'NN'), ('endorses', 'VBZ'), ('pfizer', 'NN'), ('i', 'JJ'), ('couid', 'VBP'), ('vaccine', 'NN'), ('use', 'NN'), ('adolescents', 'NNS'), ('clearing', 'VBG'), ('way', 'NN'), ('shots', 'NNS'), ('begin', 'VBP'), ('thursday', 'JJ'), ('nifty', 'JJ'), ('sipgrab', 'NN'), ('unitingpeoplewiththepossibilities', 'NNS')]","['cac', 'panel', 'endorses', 'pfizer', 'couid', 'vaccine', 'use', 'adolescent', 'clearing', 'way', 'shot', 'begin', 'thursday', 'nifty_sipgrab', 'unitingpeoplewiththepossibilities']","['cac', 'panel', 'endorse', 'couid', 'vaccine', 'use', 'adolescent', 'clear', 'way', 'shot', 'begin', 'unitingpeoplewiththepossibilitie']","['cac', 'panel', 'vaccine', 'adolescent', 'way', 'shot', 'unitingpeoplewiththepossibilitie']"
4,"we, should, train, amazon, delivery, guys, give, vaccine, ., whole, country, would, be, vaccinated, by, saturday, ., thursday, if, you, have, prime, #, india, #, mumbai, #, maharashtragovernment, #, coronavaccination, #, covidvaccine, #, coronasecondwave, #, covishieldvaccine, #, indianeedsvaccines","[('we', 'PRP'), ('should', 'MD'), ('train', 'VB'), ('amazon', 'JJ'), ('delivery', 'NN'), ('guys', 'NNS'), ('give', 'VBP'), ('vaccine', 'JJ'), ('whole', 'JJ'), ('country', 'NN'), ('would', 'MD'), ('be', 'VB'), ('vaccinated', 'VBN'), ('by', 'IN'), ('saturday', 'NN'), ('thursday', 'NN'), ('if', 'IN'), ('you', 'PRP'), ('have', 'VBP'), ('prime', 'JJ'), ('india', 'NN'), ('mumbai', 'NN'), ('maharashtragovernment', 'NN'), ('coronavaccination', 'NN'), ('covidvaccine', 'NN'), ('coronasecondwave', 'VBP'), ('covishieldvaccine', 'NN'), ('indianeedsvaccines', 'NNS')]","['train', 'amazon', 'delivery', 'give', 'vaccine', 'whole', 'country', 'would', 'vaccinated', 'saturday', 'thursday', 'prime', 'india', 'mumbai', 'maharashtragovernment', 'coronavaccination', 'covidvaccine', 'coronasecondwave', 'covishieldvaccine', 'indianeedsvaccines']","['train', 'amazon', 'delivery', 'give', 'vaccine', 'whole', 'country', 'vaccinate', 'mumbai', 'maharashtragovernment', 'coronavaccination', 'covidvaccine', 'coronasecondwave', 'covishieldvaccine', 'indianeedsvaccine']","['amazon', 'delivery', 'vaccine', 'country', 'mumbai', 'maharashtragovernment', 'coronavaccination', 'covidvaccine', 'coronasecondwave', 'covishieldvaccine']"
5,"bhaiya, bolt, band, nazi, kari, papi, ignorance, mikhail, ., doesn, ', i, understands, patent, rights, ., hope, he, knows, couid, shield, is, owned, by, oxford, astrazeneca, &, amp, ;, serum, institute, is, only, manufacturer, ., all, those, who, invested, research, will, get, vaccine, first, ,, others, we, have, wait","[('bhaiya', 'NN'), ('bolt', 'NN'), ('band', 'NN'), ('nazi', 'JJ'), ('kari', 'NN'), ('papi', 'NN'), ('ignorance', 'NN'), ('mikhail', 'NN'), ('doesn', 'NN'), ('i', 'NN'), ('understands', 'VBP'), ('patent', 'NN'), ('rights', 'NNS'), ('hope', 'VBP'), ('he', 'PRP'), ('knows', 'VBZ'), ('couid', 'JJ'), ('shield', 'NN'), ('is', 'VBZ'), ('owned', 'VBN'), ('by', 'IN'), ('oxford', 'NN'), ('astrazeneca', 'NN'), ('amp', 'NN'), ('serum', 'NN'), ('institute', 'NN'), ('is', 'VBZ'), ('only', 'RB'), ('manufacturer', 'NN'), ('all', 'PDT'), ('those', 'DT'), ('who', 'WP'), ('invested', 'VBD'), ('research', 'NN'), ('will', 'MD'), ('get', 'VB'), ('vaccine', 'JJ'), ('first', 'JJ'), ('others', 'NNS'), ('we', 'PRP'), ('have', 'VBP'), ('wait', 'VBN')]","['bolt', 'band', 'nazi', 'kari', 'papi', 'ignorance', 'mikhail', 'understands', 'patent', 'right', 'hope', 'know', 'couid', 'shield', 'owned', 'oxford', 'astrazeneca', 'amp', 'serum_institute', 'manufacturer', 'invested', 'research', 'get', 'vaccine', 'first', 'others', 'wait']","['papi', 'ignorance', 'mikhail', 'understand', 'patent', 'right', 'hope', 'know', 'couid', 'shield', 'own', 'astrazeneca', 'amp', 'serum_institute', 'manufacturer', 'invest', 'research', 'get', 'vaccine', 'first', 'other', 'wait']","['papi', 'ignorance', 'mikhail', 'patent', 'right', 'hope', 'shield', 'astrazeneca', 'amp', 'serum_institute', 'manufacturer', 'research', 'get', 'vaccine', 'other']"
6,"today, i, took, my, first, dose, couid, -, nineteen, vaccine","[('today', 'NN'), ('i', 'VBP'), ('took', 'VBD'), ('my', 'PRP$'), ('first', 'JJ'), ('dose', 'JJ'), ('couid', 'NN'), ('nineteen', 'JJ'), ('vaccine', 'NN')]","['today', 'took', 'first', 'dose', 'couid', 'nineteen', 'vaccine']","['today', 'take', 'first', 'couid', 'vaccine']","['today', 'vaccine']"
7,"feeling, very, fortunate, get, first, dose, vaccine, today, ..., #, covid19india, #, covid19vaccines, #, covishield, #, covishieldvaccine, #, healthcare, #, couid","[('feeling', 'VBG'), ('very', 'RB'), ('fortunate', 'JJ'), ('get', 'NN'), ('first', 'RB'), ('dose', 'JJ'), ('vaccine', 'NN'), ('today', 'NN'), ('covishield', 'VBP'), ('covishieldvaccine', 'NN'), ('healthcare', 'NN'), ('couid', 'NN')]","['feeling', 'fortunate', 'get', 'first', 'dose', 'vaccine', 'today', 'covishield', 'covishieldvaccine', 'healthcare', 'couid']","['feel', 'fortunate', 'get', 'first', 'dose', 'vaccine', 'today', 'covishield', 'covishieldvaccine', 'healthcare']","['dose', 'vaccine', 'today', 'covishieldvaccine', 'healthcare']"
8,"and, dose, couid, vaccine, victory_hand, i, victory_hand, i, fire","[('and', 'CC'), ('dose', 'VB'), ('couid', 'JJ'), ('vaccine', 'NN'), ('i', 'NN'), ('i', 'VBP'), ('fire', 'NN')]","['dose', 'couid', 'vaccine', 'fire']","['vaccine', 'fire']","['vaccine', 'fire']"
9,"pfizer, seek, couid, -, nineteen, vaccine, approval, mexico, children, aged, twelve, -, fifteen, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities","[('pfizer', 'NN'), ('seek', 'JJ'), ('couid', 'NN'), ('nineteen', 'JJ'), ('vaccine', 'NN'), ('approval', 'NN'), ('mexico', 'NN'), ('children', 'NNS'), ('aged', 'VBN'), ('twelve', 'VBP'), ('fifteen', 'JJ'), ('nifty', 'JJ'), ('sipgrab', 'NN'), ('unitingpeoplewiththepossibilities', 'NNS')]","['pfizer', 'seek', 'couid', 'nineteen', 'vaccine', 'approval', 'mexico', 'child', 'aged', 'twelve', 'fifteen', 'nifty_sipgrab', 'unitingpeoplewiththepossibilities']","['pfizer', 'seek', 'couid', 'vaccine', 'approval', 'child', 'age', 'unitingpeoplewiththepossibilitie']","['pfizer', 'vaccine', 'approval', 'child', 'unitingpeoplewiththepossibilitie']"
